ProductId,ItemCode,ItemDescription,FamilyName,GroupHeader,MainGroup,SubGroup1,SubGroup2,SubGroup3,SubGroup4,SubGroup5,SubGroup6,SubGroup7,SubGroup8,ProductFamily,ItemPurchaseType,Price in USD - P.Y,Price in USD - C.Y,Price in INR - P.Y,Price in INR - C.Y,AnnexureId,UnitofMeasures,EDApplicable,VATApplicable,PackageType,VariantCode,VariantDescription,BelongsTo,,,,
51,E05C292230-,Base Cabinet, 1 RH Door 3 Dwr, 29H x 22D x 30L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E05.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E05C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
52,E05C292236-,Base Cabinet, 1 RH Door 3 Dwr, 29H x 22D x 36L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E05.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E05C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
53,E05C292242-,Base Cabinet, 1 RH Door 3 Dwr, 29H x 22D x 42L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E05.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E05C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
54,E05C292248-,Base Cabinet, 1 RH Door 3 Dwr, 29H x 22D x 48L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E05.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E05C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
55,E05C292230L,Base Cabinet, 1 LH Door 3 Dwr, 29H x 22D x 30L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E05L.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E05C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
56,E05C292236L,Base Cabinet, 1 LH Door 3 Dwr, 29H x 22D x 36L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E05L.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E05C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
57,E05C292242L,Base Cabinet, 1 LH Door 3 Dwr, 29H x 22D x 42L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E05L.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E05C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
58,E05C292248L,Base Cabinet, 1 LH Door 3 Dwr, 29H x 22D x 48L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E05L.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E05C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
59,E40C292215-,Base Cabinet, 1 RH Door 1 Dwr, 29H x 22D x 15L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E40.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E40C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
60,E40C292218-,Base Cabinet, 1 RH Door 1 Dwr, 29H x 22D x 18L,Steel Cabinet-Sitting-Base Mounted-Cupboard and Drawer-Kewaunee-E40.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer / Cupboard Cabinets,,,E40C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
